지역번호,지점명,일자,시간,기온(C),풍속(m/s),습도(%)
1,서울,2020-08-08,19,24.9,2.5,88
2,부산,2020-08-08,19,25.3,3.8,92
3,대구,2020-08-08,19,23.3,2.4,97
4,인천,2020-08-08,19,24.4,3.1,93
5,광주,2020-08-08,19,26,1.9,99
6,대전,2020-08-08,19,24.5,1.8,97
7,울산,2020-08-08,19,24.4,1.6,98
8,강릉,2020-08-08,19,22.1,0.5,91
9,제주,2020-08-08,19,30.7,6.1,60
1,서울,2020-08-08,20,24.3,2.8,92
2,부산,2020-08-08,20,25.4,3.1,92
3,대구,2020-08-08,20,23.5,2.7,97
4,인천,2020-08-08,20,24.2,1.7,96
5,광주,2020-08-08,20,26,2.7,99
6,대전,2020-08-08,20,24.4,0.4,97
7,울산,2020-08-08,20,24.4,0.2,98
8,강릉,2020-08-08,20,22,0.8,93
9,제주,2020-08-08,20,30.5,4.2,60
1,서울,2020-08-08,21,24,2.4,95
2,부산,2020-08-08,21,25.4,5,93
3,대구,2020-08-08,21,23.6,2.1,97
4,인천,2020-08-08,21,24.1,2.9,97
5,광주,2020-08-08,21,26,2.1,98
6,대전,2020-08-08,21,24.2,0.4,97
7,울산,2020-08-08,21,23.3,1.5,98
8,강릉,2020-08-08,21,21.9,1,95
9,제주,2020-08-08,21,30.5,3.9,57
1,서울,2020-08-08,22,23.8,2.2,97
2,부산,2020-08-08,22,25.7,6.8,92
3,대구,2020-08-08,22,23.8,1.8,97
4,인천,2020-08-08,22,24,3.5,97
5,광주,2020-08-08,22,25.9,2.4,99
6,대전,2020-08-08,22,24.2,0.6,97
7,울산,2020-08-08,22,23.2,0.8,98
8,강릉,2020-08-08,22,21.8,0.1,96
9,제주,2020-08-08,22,30.4,4.5,56
1,서울,2020-08-08,23,23.7,1.4,97
2,부산,2020-08-08,23,26.3,7.4,90
3,대구,2020-08-08,23,24,0.7,96
4,인천,2020-08-08,23,24.3,4.2,96
5,광주,2020-08-08,23,25.4,1.9,99
6,대전,2020-08-08,23,24.2,0,97
7,울산,2020-08-08,23,23.1,0.3,98
8,강릉,2020-08-08,23,21.7,0.1,95
9,제주,2020-08-08,23,30.6,2.8,53
1,서울,2020-08-09,0,23.7,1.3,98
2,부산,2020-08-09,0,25.9,9.6,92
3,대구,2020-08-09,0,24,0.2,96
4,인천,2020-08-09,0,24.6,5.2,96
5,광주,2020-08-09,0,24.7,1,99
6,대전,2020-08-09,0,24.2,0.3,97
7,울산,2020-08-09,0,23.1,0.7,98
8,강릉,2020-08-09,0,21.5,0.5,96
9,제주,2020-08-09,0,30.3,3.9,55
1,서울,2020-08-09,1,23.9,1.2,97
2,부산,2020-08-09,1,26.1,9,89
3,대구,2020-08-09,1,23.9,1.8,96
4,인천,2020-08-09,1,24.7,4.9,95
5,광주,2020-08-09,1,25,2.7,99
6,대전,2020-08-09,1,24.2,0.3,97
7,울산,2020-08-09,1,23,0.3,98
8,강릉,2020-08-09,1,21.4,0.8,96
9,제주,2020-08-09,1,30.6,4.7,52
1,서울,2020-08-09,2,24.2,0.9,98
2,부산,2020-08-09,2,26.3,9.4,90
3,대구,2020-08-09,2,24.2,0,96
4,인천,2020-08-09,2,24.8,4.1,93
5,광주,2020-08-09,2,24.9,3.5,99
6,대전,2020-08-09,2,24.3,0.4,97
7,울산,2020-08-09,2,23.3,0.4,98
8,강릉,2020-08-09,2,21.3,0.4,97
9,제주,2020-08-09,2,30.7,5.2,53
1,서울,2020-08-09,3,24.4,1,98
2,부산,2020-08-09,3,26.5,8.4,89
3,대구,2020-08-09,3,24.1,0,96
4,인천,2020-08-09,3,24.6,4.8,96
5,광주,2020-08-09,3,24.8,3.2,99
6,대전,2020-08-09,3,24.2,0.1,97
7,울산,2020-08-09,3,23.4,0.3,98
8,강릉,2020-08-09,3,21.3,0.8,97
9,제주,2020-08-09,3,31.4,4.6,49
1,서울,2020-08-09,4,24.4,0.7,98
2,부산,2020-08-09,4,26,7.7,90
3,대구,2020-08-09,4,24.6,1.2,95
4,인천,2020-08-09,4,24.6,5,96
5,광주,2020-08-09,4,25.4,4.4,96
6,대전,2020-08-09,4,24.1,0.8,97
7,울산,2020-08-09,4,24.4,0.9,98
8,강릉,2020-08-09,4,21.3,0,97
9,제주,2020-08-09,4,30.5,5.5,56
1,서울,2020-08-09,5,24.6,2.7,98
2,부산,2020-08-09,5,25.4,9.1,93
3,대구,2020-08-09,5,24.8,1.1,94
4,인천,2020-08-09,5,24.3,4.1,95
5,광주,2020-08-09,5,25.7,4,94
6,대전,2020-08-09,5,24.1,0.1,97
7,울산,2020-08-09,5,26,2.8,93
8,강릉,2020-08-09,5,21.2,0.3,97
9,제주,2020-08-09,5,30.6,2.6,55
1,서울,2020-08-09,6,24.5,0.4,98
2,부산,2020-08-09,6,25.7,6.3,89
3,대구,2020-08-09,6,24.4,0,93
4,인천,2020-08-09,6,24.4,4.3,96
5,광주,2020-08-09,6,25.7,2.5,94
6,대전,2020-08-09,6,23.9,1.8,97
7,울산,2020-08-09,6,26.1,3.7,91
8,강릉,2020-08-09,6,21.2,0.1,97
9,제주,2020-08-09,6,30.1,2.1,56
1,서울,2020-08-09,7,24.6,0.9,98
2,부산,2020-08-09,7,26.1,6.5,87
3,대구,2020-08-09,7,25.5,0.6,89
4,인천,2020-08-09,7,24.6,6.4,96
5,광주,2020-08-09,7,26,2.1,95
6,대전,2020-08-09,7,23.8,1.6,97
7,울산,2020-08-09,7,26.8,2.8,88
8,강릉,2020-08-09,7,21.3,0.4,97
9,제주,2020-08-09,7,30.4,3.7,54
1,서울,2020-08-09,8,24.7,3.2,99
2,부산,2020-08-09,8,25.8,5.9,89
3,대구,2020-08-09,8,28.3,1.9,66
4,인천,2020-08-09,8,24.7,6.6,96
5,광주,2020-08-09,8,26.5,2.8,95
6,대전,2020-08-09,8,23.8,1.3,97
7,울산,2020-08-09,8,28.5,3.4,79
8,강릉,2020-08-09,8,21.1,0,97
9,제주,2020-08-09,8,31.4,3.3,55
1,서울,2020-08-09,9,24.6,2.1,98
2,부산,2020-08-09,9,26.3,8.2,92
3,대구,2020-08-09,9,29.5,1.4,63
4,인천,2020-08-09,9,24.6,6.5,95
5,광주,2020-08-09,9,27.4,3.1,92
6,대전,2020-08-09,9,24.1,2.1,97
7,울산,2020-08-09,9,29.3,4.2,74
8,강릉,2020-08-09,9,21.3,1.4,97
9,제주,2020-08-09,9,32.5,3.3,51
1,서울,2020-08-09,10,24.9,2.6,99
2,부산,2020-08-09,10,26.7,5.9,88
3,대구,2020-08-09,10,29.9,2.4,60
4,인천,2020-08-09,10,24.3,7,96
5,광주,2020-08-09,10,28.9,5.4,80
6,대전,2020-08-09,10,24.8,2.8,97
7,울산,2020-08-09,10,29.3,4.3,75
8,강릉,2020-08-09,10,21.4,0.8,97
9,제주,2020-08-09,10,31,4.5,62
1,서울,2020-08-09,11,25,5.2,98
2,부산,2020-08-09,11,26.6,4.6,87
3,대구,2020-08-09,11,30.6,2.7,56
4,인천,2020-08-09,11,24.1,5.5,96
5,광주,2020-08-09,11,30,5.4,75
6,대전,2020-08-09,11,25.7,1.3,97
7,울산,2020-08-09,11,29.8,4.3,70
8,강릉,2020-08-09,11,22,0.9,96
9,제주,2020-08-09,11,32.1,5.5,55
1,서울,2020-08-09,12,25,3.7,98
2,부산,2020-08-09,12,26.7,6.7,84
3,대구,2020-08-09,12,31.2,2.7,55
4,인천,2020-08-09,12,24.1,5.6,97
5,광주,2020-08-09,12,29.9,6.5,75
6,대전,2020-08-09,12,26.7,2.4,92
7,울산,2020-08-09,12,30.2,4.5,67
8,강릉,2020-08-09,12,23.3,1.8,95
9,제주,2020-08-09,12,32.9,4.3,54
1,서울,2020-08-09,13,24.9,6,98
2,부산,2020-08-09,13,27.4,5.4,85
3,대구,2020-08-09,13,29.9,3.2,60
4,인천,2020-08-09,13,24.1,9,97
5,광주,2020-08-09,13,30.1,6.6,69
6,대전,2020-08-09,13,26.9,1,94
7,울산,2020-08-09,13,30.9,4.8,65
8,강릉,2020-08-09,13,24.5,1.9,91
9,제주,2020-08-09,13,32.5,3.8,58
1,서울,2020-08-09,14,24.6,4.4,97
2,부산,2020-08-09,14,27,5.6,85
3,대구,2020-08-09,14,33.1,2.2,52
4,인천,2020-08-09,14,24.4,6.4,97
5,광주,2020-08-09,14,31.3,5.2,69
6,대전,2020-08-09,14,28.1,0.7,92
7,울산,2020-08-09,14,30.7,5.5,67
8,강릉,2020-08-09,14,25.4,1.3,90
9,제주,2020-08-09,14,30.3,5.3,70
1,서울,2020-08-09,15,24.7,4.6,97
2,부산,2020-08-09,15,27.1,6.4,87
3,대구,2020-08-09,15,33.2,3.2,48
4,인천,2020-08-09,15,24.3,5.1,97
5,광주,2020-08-09,15,30.1,2.8,78
6,대전,2020-08-09,15,29.3,2.5,81
7,울산,2020-08-09,15,29.6,4.1,75
8,강릉,2020-08-09,15,26,1,84
9,제주,2020-08-09,15,30.4,4.2,71
1,서울,2020-08-09,16,25.2,4.3,94
2,부산,2020-08-09,16,25.8,6.4,92
3,대구,2020-08-09,16,31.7,3.4,52
4,인천,2020-08-09,16,24.3,5.7,96
5,광주,2020-08-09,16,30.5,4.5,78
6,대전,2020-08-09,16,30,2.2,74
7,울산,2020-08-09,16,28.8,3.9,80
8,강릉,2020-08-09,16,26.2,0.6,81
9,제주,2020-08-09,16,29.9,5.4,73
1,서울,2020-08-09,17,24.8,4.9,95
2,부산,2020-08-09,17,25,8.2,94
3,대구,2020-08-09,17,31.6,3,53
4,인천,2020-08-09,17,24.1,5.5,95
5,광주,2020-08-09,17,29.9,4.5,80
6,대전,2020-08-09,17,29,1.9,81
7,울산,2020-08-09,17,28.1,4.1,84
8,강릉,2020-08-09,17,25.9,0.5,86
9,제주,2020-08-09,17,30.3,5.2,69
1,서울,2020-08-09,18,24.8,2.6,95
2,부산,2020-08-09,18,25.8,7.1,87
3,대구,2020-08-09,18,30.3,2.4,59
4,인천,2020-08-09,18,24.5,5.1,94
5,광주,2020-08-09,18,29.5,5.2,79
6,대전,2020-08-09,18,28.4,1.7,86
7,울산,2020-08-09,18,26.3,3.9,95
8,강릉,2020-08-09,18,25.5,0.7,89
9,제주,2020-08-09,18,29.5,3.1,75
1,서울,2020-08-09,19,24.8,2.7,96
2,부산,2020-08-09,19,25,2.8,92
3,대구,2020-08-09,19,29,2.4,67
4,인천,2020-08-09,19,24.4,5,95
5,광주,2020-08-09,19,28.2,3.4,87
6,대전,2020-08-09,19,28.1,1.2,88
7,울산,2020-08-09,19,26.3,2.8,90
8,강릉,2020-08-09,19,25.2,0.2,90
9,제주,2020-08-09,19,29,3.8,77
1,서울,2020-08-09,20,25.2,2.4,93
2,부산,2020-08-09,20,24.6,6.7,96
3,대구,2020-08-09,20,28.3,2.2,69
4,인천,2020-08-09,20,24.8,5.5,86
5,광주,2020-08-09,20,27.2,2.9,93
6,대전,2020-08-09,20,27.4,0.8,93
7,울산,2020-08-09,20,26.9,3.8,88
8,강릉,2020-08-09,20,24.6,1.4,91
9,제주,2020-08-09,20,28.6,2.5,78
1,서울,2020-08-09,21,25.4,1.8,89
2,부산,2020-08-09,21,24.3,7.3,97
3,대구,2020-08-09,21,27.6,1.9,73
4,인천,2020-08-09,21,25.2,6.2,82
5,광주,2020-08-09,21,27.2,4.1,92
6,대전,2020-08-09,21,27.3,2.2,90
7,울산,2020-08-09,21,26.1,3.3,96
8,강릉,2020-08-09,21,24.3,0.9,91
9,제주,2020-08-09,21,28.4,1.5,80
1,서울,2020-08-09,22,25.4,1.6,90
2,부산,2020-08-09,22,24.6,5.6,95
3,대구,2020-08-09,22,26.6,2.5,83
4,인천,2020-08-09,22,25.4,5.2,81
5,광주,2020-08-09,22,26.8,2.4,94
6,대전,2020-08-09,22,26.6,1.7,89
7,울산,2020-08-09,22,25.5,3.1,98
8,강릉,2020-08-09,22,24.2,0.9,91
9,제주,2020-08-09,22,28.6,0.7,78
1,서울,2020-08-09,23,25.7,1.8,90
2,부산,2020-08-09,23,24.4,7.8,95
3,대구,2020-08-09,23,26.6,1.8,83
4,인천,2020-08-09,23,25.5,5.1,83
5,광주,2020-08-09,23,27,4.5,93
6,대전,2020-08-09,23,26,1.8,90
7,울산,2020-08-09,23,26.1,3.8,97
8,강릉,2020-08-09,23,24.1,0.5,91
9,제주,2020-08-09,23,28.6,1.9,77
1,서울,2020-08-10,0,25.7,1.9,90
2,부산,2020-08-10,0,24.1,7.9,95
3,대구,2020-08-10,0,26.3,2.6,86
4,인천,2020-08-10,0,25.2,3.7,89
5,광주,2020-08-10,0,26.7,2.8,95
6,대전,2020-08-10,0,25.4,0.9,92
7,울산,2020-08-10,0,25.6,4.3,97
8,강릉,2020-08-10,0,24,0.8,92
9,제주,2020-08-10,0,28.2,4.8,80
1,서울,2020-08-10,1,25.8,2.3,90
2,부산,2020-08-10,1,24.8,7,93
3,대구,2020-08-10,1,26.3,1.7,86
4,인천,2020-08-10,1,25.5,6,87
5,광주,2020-08-10,1,27.1,3.2,95
6,대전,2020-08-10,1,24.9,0.5,96
7,울산,2020-08-10,1,25.2,3.3,98
8,강릉,2020-08-10,1,23.5,0.3,93
9,제주,2020-08-10,1,27.9,1.9,83
1,서울,2020-08-10,2,26.1,3.2,88
2,부산,2020-08-10,2,24.9,5.7,95
3,대구,2020-08-10,2,26.6,1.9,83
4,인천,2020-08-10,2,25.9,6.5,84
5,광주,2020-08-10,2,26.8,3.6,95
6,대전,2020-08-10,2,24.5,0.7,97
7,울산,2020-08-10,2,25.8,3.4,96
8,강릉,2020-08-10,2,23.1,0.3,94
9,제주,2020-08-10,2,28.4,2.7,78
1,서울,2020-08-10,3,26.1,3.3,88
2,부산,2020-08-10,3,25.4,4.3,95
3,대구,2020-08-10,3,25.9,2.2,89
4,인천,2020-08-10,3,25.1,5.7,94
5,광주,2020-08-10,3,26.1,1.8,98
6,대전,2020-08-10,3,24.7,1.1,97
7,울산,2020-08-10,3,26,2.9,98
8,강릉,2020-08-10,3,22.8,0.4,95
9,제주,2020-08-10,3,29.3,2.7,74
1,서울,2020-08-10,4,25.3,3,93
2,부산,2020-08-10,4,25.2,2.9,95
3,대구,2020-08-10,4,25.4,1.5,93
4,인천,2020-08-10,4,24.9,5,95
5,광주,2020-08-10,4,25.4,2.1,99
6,대전,2020-08-10,4,24.7,0.4,97
7,울산,2020-08-10,4,26.7,3.2,96
8,강릉,2020-08-10,4,22.8,1.5,95
9,제주,2020-08-10,4,28.9,2.4,77
1,서울,2020-08-10,5,25.2,1.6,93
2,부산,2020-08-10,5,25.1,3.5,95
3,대구,2020-08-10,5,25.5,0.1,93
4,인천,2020-08-10,5,25.1,5.1,93
5,광주,2020-08-10,5,25.4,1.1,99
6,대전,2020-08-10,5,24.8,0.1,97
7,울산,2020-08-10,5,26.6,2.8,97
8,강릉,2020-08-10,5,22.9,0.8,94
9,제주,2020-08-10,5,29.7,2,66
1,서울,2020-08-10,6,25.4,2.3,93
2,부산,2020-08-10,6,25.2,2,94
3,대구,2020-08-10,6,25.1,1.1,95
4,인천,2020-08-10,6,25.1,4.4,92
5,광주,2020-08-10,6,25.1,0.1,99
6,대전,2020-08-10,6,24.8,0,97
7,울산,2020-08-10,6,27.2,3.9,93
8,강릉,2020-08-10,6,22.8,1.2,94
9,제주,2020-08-10,6,28.5,4.5,77
1,서울,2020-08-10,7,25.4,2.1,94
2,부산,2020-08-10,7,25.9,1.1,88
3,대구,2020-08-10,7,25.8,1.6,95
4,인천,2020-08-10,7,25.2,3.8,92
5,광주,2020-08-10,7,25.5,1.4,99
6,대전,2020-08-10,7,25.3,0.6,97
7,울산,2020-08-10,7,27.3,3.2,92
8,강릉,2020-08-10,7,23.6,0.3,93
9,제주,2020-08-10,7,28.4,2.7,80
1,서울,2020-08-10,8,25.4,1.9,96
2,부산,2020-08-10,8,27.1,2.6,80
3,대구,2020-08-10,8,26,2.9,93
4,인천,2020-08-10,8,25.7,3.6,90
5,광주,2020-08-10,8,26.4,1.2,98
6,대전,2020-08-10,8,25.7,0.2,97
7,울산,2020-08-10,8,27.6,2.9,88
8,강릉,2020-08-10,8,25.2,0.8,90
9,제주,2020-08-10,8,27.9,1.4,84
1,서울,2020-08-10,9,25.6,0.7,97
2,부산,2020-08-10,9,28.1,2.6,77
3,대구,2020-08-10,9,26.4,1.1,93
4,인천,2020-08-10,9,25.6,3.8,93
5,광주,2020-08-10,9,27.7,1.3,95
6,대전,2020-08-10,9,27.5,0.6,97
7,울산,2020-08-10,9,28.2,2.7,87
8,강릉,2020-08-10,9,26.9,0.6,87
9,제주,2020-08-10,9,28.1,1.3,84
1,서울,2020-08-10,10,26.2,0.7,97
2,부산,2020-08-10,10,28.3,1.6,83
3,대구,2020-08-10,10,28.4,1.2,85
4,인천,2020-08-10,10,25.7,3.7,95
5,광주,2020-08-10,10,27.7,1.9,96
6,대전,2020-08-10,10,28.4,0.5,91
7,울산,2020-08-10,10,28.2,1.6,84
8,강릉,2020-08-10,10,28.6,1.6,81
9,제주,2020-08-10,10,27.2,0.9,90
1,서울,2020-08-10,11,27.7,2.8,92
2,부산,2020-08-10,11,26.1,2.7,93
3,대구,2020-08-10,11,29.5,1.4,81
4,인천,2020-08-10,11,25.7,2.2,96
5,광주,2020-08-10,11,26.3,1.5,99
6,대전,2020-08-10,11,28.2,3.9,90
7,울산,2020-08-10,11,28.3,2,84
8,강릉,2020-08-10,11,28.7,0.6,79
9,제주,2020-08-10,11,26.8,0.7,90
1,서울,2020-08-10,12,29,3.6,81
2,부산,2020-08-10,12,26.3,2.7,92
3,대구,2020-08-10,12,29.3,3.9,71
4,인천,2020-08-10,12,26.2,1.7,94
5,광주,2020-08-10,12,25.9,1.4,99
6,대전,2020-08-10,12,29.3,3.4,85
7,울산,2020-08-10,12,27,1.9,92
8,강릉,2020-08-10,12,26.6,2.1,88
9,제주,2020-08-10,12,27.6,3.1,89
1,서울,2020-08-10,13,29.3,1.9,79
2,부산,2020-08-10,13,26.2,3.8,91
3,대구,2020-08-10,13,26.8,2.3,92
4,인천,2020-08-10,13,26.6,1.4,90
5,광주,2020-08-10,13,26,1.1,99
6,대전,2020-08-10,13,28.4,2.9,88
7,울산,2020-08-10,13,26.3,3.3,96
8,강릉,2020-08-10,13,27.2,2.4,90
9,제주,2020-08-10,13,28.9,4.1,82
1,서울,2020-08-10,14,29.3,2.2,82
2,부산,2020-08-10,14,25.8,4.6,91
3,대구,2020-08-10,14,26.7,2.4,91
4,인천,2020-08-10,14,26.9,1.3,82
5,광주,2020-08-10,14,25.7,0.7,99
6,대전,2020-08-10,14,27.1,1.4,97
7,울산,2020-08-10,14,27,1.8,95
8,강릉,2020-08-10,14,28.9,0.9,81
9,제주,2020-08-10,14,27.8,4,90
1,서울,2020-08-10,15,28.6,1.7,88
2,부산,2020-08-10,15,25.3,5.3,95
3,대구,2020-08-10,15,26.7,0.4,93
4,인천,2020-08-10,15,27.3,2.2,78
5,광주,2020-08-10,15,25.1,0.6,99
6,대전,2020-08-10,15,26.7,1.2,97
7,울산,2020-08-10,15,27.6,2.1,89
8,강릉,2020-08-10,15,29.2,1.9,81
9,제주,2020-08-10,15,29.9,4.5,74
1,서울,2020-08-10,16,27.6,1.9,89
2,부산,2020-08-10,16,25.1,8.1,94
3,대구,2020-08-10,16,27.3,0.1,90
4,인천,2020-08-10,16,27.1,2.1,79
5,광주,2020-08-10,16,24.9,2.5,99
6,대전,2020-08-10,16,25.8,2.1,97
7,울산,2020-08-10,16,25.8,3.9,98
8,강릉,2020-08-10,16,27.8,1.4,86
9,제주,2020-08-10,16,32.1,3.7,61
1,서울,2020-08-10,17,26.7,1.3,94
2,부산,2020-08-10,17,24.3,11.3,93
3,대구,2020-08-10,17,26.9,1.8,90
4,인천,2020-08-10,17,26.8,2.2,83
5,광주,2020-08-10,17,25.2,1.1,99
6,대전,2020-08-10,17,25.5,0.6,97
7,울산,2020-08-10,17,24.3,3.2,98
8,강릉,2020-08-10,17,26.6,1.6,91
9,제주,2020-08-10,17,31.3,1.8,69
1,서울,2020-08-10,18,26.7,1.8,95
2,부산,2020-08-10,18,23.6,11.3,95
3,대구,2020-08-10,18,26.2,4.2,93
4,인천,2020-08-10,18,26.5,2,84
5,광주,2020-08-10,18,25.7,0.9,99
6,대전,2020-08-10,18,25.6,0.1,97
7,울산,2020-08-10,18,24.8,3.9,98
8,강릉,2020-08-10,18,24.3,3.1,95
9,제주,2020-08-10,18,31.7,3.6,65
1,서울,2020-08-10,19,26.4,2.1,95
2,부산,2020-08-10,19,24.4,5.7,95
3,대구,2020-08-10,19,24.3,4.9,95
4,인천,2020-08-10,19,26.2,1.7,91
5,광주,2020-08-10,19,25.8,2.1,99
6,대전,2020-08-10,19,25.5,0.9,97
7,울산,2020-08-10,19,25.7,3.2,98
8,강릉,2020-08-10,19,24.1,1.5,95
9,제주,2020-08-10,19,30.7,4.6,72
1,서울,2020-08-10,20,26.3,1.4,95
2,부산,2020-08-10,20,25,6.2,90
3,대구,2020-08-10,20,24.6,2.3,92
4,인천,2020-08-10,20,26.1,2.1,90
5,광주,2020-08-10,20,25.5,1.8,99
6,대전,2020-08-10,20,25.3,1.2,97
7,울산,2020-08-10,20,26.4,4.5,91
8,강릉,2020-08-10,20,23.6,2.8,96
9,제주,2020-08-10,20,30.6,4.3,71
1,서울,2020-08-10,21,26.2,0.5,95
2,부산,2020-08-10,21,25.2,4.6,90
3,대구,2020-08-10,21,24.5,1.2,93
4,인천,2020-08-10,21,26.1,2.7,92
5,광주,2020-08-10,21,24.9,2,99
6,대전,2020-08-10,21,25.3,1.2,97
7,울산,2020-08-10,21,26.4,3.4,89
8,강릉,2020-08-10,21,23.5,1.6,96
9,제주,2020-08-10,21,30.5,4.6,70
1,서울,2020-08-10,22,26.1,1.7,95
2,부산,2020-08-10,22,25.8,4.6,87
3,대구,2020-08-10,22,24.7,0.8,94
4,인천,2020-08-10,22,25.6,3.4,95
5,광주,2020-08-10,22,25.1,1.7,99
6,대전,2020-08-10,22,25.3,1.2,97
7,울산,2020-08-10,22,26.4,3.8,90
8,강릉,2020-08-10,22,23.7,0.4,95
9,제주,2020-08-10,22,30.4,7.8,66
1,서울,2020-08-10,23,25.8,1.7,96
2,부산,2020-08-10,23,25.8,9.2,95
3,대구,2020-08-10,23,24.6,0.5,95
4,인천,2020-08-10,23,24.6,2.7,95
5,광주,2020-08-10,23,24.6,1.9,99
6,대전,2020-08-10,23,25.2,0.7,97
7,울산,2020-08-10,23,26.9,3.8,85
8,강릉,2020-08-10,23,23.6,0.5,97
9,제주,2020-08-10,23,30.1,6,67
1,서울,2020-08-11,0,24.7,3.6,96
2,부산,2020-08-11,0,26,9.4,93
3,대구,2020-08-11,0,24.8,0.2,94
4,인천,2020-08-11,0,24.2,3.3,96
5,광주,2020-08-11,0,25.9,3.9,99
6,대전,2020-08-11,0,25.3,2.2,97
7,울산,2020-08-11,0,26.3,2.9,92
8,강릉,2020-08-11,0,24,0.6,96
9,제주,2020-08-11,0,29.9,5.2,67
1,서울,2020-08-11,1,24.5,1,97
2,부산,2020-08-11,1,26.5,9.3,88
3,대구,2020-08-11,1,24.7,0.5,95
4,인천,2020-08-11,1,24.2,2.2,96
5,광주,2020-08-11,1,25.9,3.9,99
6,대전,2020-08-11,1,25.5,4,97
7,울산,2020-08-11,1,26,3,98
8,강릉,2020-08-11,1,24.3,0.5,95
9,제주,2020-08-11,1,29.6,5.8,68
1,서울,2020-08-11,2,24.6,1.1,98
2,부산,2020-08-11,2,26.3,7.8,88
3,대구,2020-08-11,2,24.6,0.8,96
4,인천,2020-08-11,2,24,4.6,96
5,광주,2020-08-11,2,25.6,2.3,99
6,대전,2020-08-11,2,25.7,2.4,97
7,울산,2020-08-11,2,25.9,2.4,98
8,강릉,2020-08-11,2,24.2,0.5,96
9,제주,2020-08-11,2,29.2,3.5,69
1,서울,2020-08-11,3,24.4,3.5,98
2,부산,2020-08-11,3,25.9,6.9,91
3,대구,2020-08-11,3,24.4,0,96
4,인천,2020-08-11,3,23.6,3,95
5,광주,2020-08-11,3,25.8,3.5,99
6,대전,2020-08-11,3,25.9,2.2,97
7,울산,2020-08-11,3,26.3,2.8,98
8,강릉,2020-08-11,3,24,0.1,97
9,제주,2020-08-11,3,29.8,4.4,65
1,서울,2020-08-11,4,24.3,3.3,99
2,부산,2020-08-11,4,26,6.9,88
3,대구,2020-08-11,4,24.6,0.5,96
4,인천,2020-08-11,4,23.2,5.2,96
5,광주,2020-08-11,4,25.7,2.2,99
6,대전,2020-08-11,4,25.9,2.7,97
7,울산,2020-08-11,4,26.3,3.2,98
8,강릉,2020-08-11,4,23.9,0,97
9,제주,2020-08-11,4,29.6,3.9,65
1,서울,2020-08-11,5,23,4.3,97
2,부산,2020-08-11,5,26.2,6.4,87
3,대구,2020-08-11,5,25.2,0.3,94
4,인천,2020-08-11,5,21.8,3.5,96
5,광주,2020-08-11,5,25.9,1.7,99
6,대전,2020-08-11,5,25.5,1.9,97
7,울산,2020-08-11,5,26.7,3.3,90
8,강릉,2020-08-11,5,23.6,1.2,98
9,제주,2020-08-11,5,29.3,3.4,68
1,서울,2020-08-11,6,22.6,1.9,98
2,부산,2020-08-11,6,25.7,4.9,91
3,대구,2020-08-11,6,25.1,0.6,95
4,인천,2020-08-11,6,22.6,1.7,96
5,광주,2020-08-11,6,25.8,2.5,99
6,대전,2020-08-11,6,25.4,1.4,97
7,울산,2020-08-11,6,26.7,3.3,88
8,강릉,2020-08-11,6,23.1,1,98
9,제주,2020-08-11,6,29.7,3.8,68
1,서울,2020-08-11,7,22.5,1.9,99
2,부산,2020-08-11,7,25.9,4.3,89
3,대구,2020-08-11,7,26.7,0.7,91
4,인천,2020-08-11,7,23.2,3.6,96
5,광주,2020-08-11,7,25.6,1.8,99
6,대전,2020-08-11,7,25.3,1.3,97
7,울산,2020-08-11,7,27.2,3.8,84
8,강릉,2020-08-11,7,23.3,0.4,98
9,제주,2020-08-11,7,29.8,4.1,72
1,서울,2020-08-11,8,22.7,1.6,99
2,부산,2020-08-11,8,27.2,6.2,84
3,대구,2020-08-11,8,29,0.8,79
4,인천,2020-08-11,8,23.5,3.2,96
5,광주,2020-08-11,8,26.4,4.7,99
6,대전,2020-08-11,8,25.4,1.3,97
7,울산,2020-08-11,8,28.2,2.9,80
8,강릉,2020-08-11,8,22.4,4.7,96
9,제주,2020-08-11,8,30,3.9,73
1,서울,2020-08-11,9,22.9,0.8,100
2,부산,2020-08-11,9,28,5.1,84
3,대구,2020-08-11,9,30.2,1.1,70
4,인천,2020-08-11,9,23.2,4.1,95
5,광주,2020-08-11,9,26.6,2,99
6,대전,2020-08-11,9,25.8,1.2,97
7,울산,2020-08-11,9,29.3,2.9,77
8,강릉,2020-08-11,9,22.4,0.7,96
9,제주,2020-08-11,9,29.9,3.1,77
1,서울,2020-08-11,10,23.7,0.6,99
2,부산,2020-08-11,10,27.7,4.4,85
3,대구,2020-08-11,10,31.8,2,56
4,인천,2020-08-11,10,23.2,2.2,95
5,광주,2020-08-11,10,27.5,2.1,99
6,대전,2020-08-11,10,25.6,1.3,97
7,울산,2020-08-11,10,30.2,4.1,73
8,강릉,2020-08-11,10,22.6,1.4,95
9,제주,2020-08-11,10,29.6,3.8,81
1,서울,2020-08-11,11,24.1,3,98
2,부산,2020-08-11,11,28.6,6.5,81
3,대구,2020-08-11,11,31.6,1.7,56
4,인천,2020-08-11,11,23.5,2.6,95
5,광주,2020-08-11,11,28.8,2.7,95
6,대전,2020-08-11,11,25.8,1.5,96
7,울산,2020-08-11,11,30.8,4.2,69
8,강릉,2020-08-11,11,22.6,1.4,95
9,제주,2020-08-11,11,29.6,6.6,80
1,서울,2020-08-11,12,24.5,3.6,96
